dummy_id,gene_id
0,?|100130426
1,?|100133144
2,?|100134869
3,?|10357
4,?|10431
5,?|136542
6,?|155060
7,?|26823
8,?|280660
9,?|317712
10,?|340602
11,?|388795
12,?|390284
13,?|391343
14,?|391714
15,?|404770
16,?|441362
17,?|442388
18,?|553137
19,?|57714
20,?|645851
21,?|652919
22,?|653553
23,?|728045
24,?|728603
25,?|728788
26,?|729884
27,?|8225
28,?|90288
29,A1BG|1
30,A1CF|29974
31,A2BP1|54715
32,A2LD1|87769
33,A2ML1|144568
34,A2M|2
35,A4GALT|53947
36,A4GNT|51146
37,AAA1|404744
38,AAAS|8086
39,AACSL|729522
40,AACS|65985
41,AADACL2|344752
42,AADACL3|126767
43,AADACL4|343066
44,AADAC|13
45,AADAT|51166
46,AAGAB|79719
47,AAK1|22848
48,AAMP|14
49,AANAT|15
50,AARS2|57505
51,AARSD1|80755
52,AARS|16
53,AASDHPPT|60496
54,AASDH|132949
55,AASS|10157
56,AATF|26574
57,AATK|9625
58,ABAT|18
59,ABCA10|10349
60,ABCA11P|79963
61,ABCA12|26154
62,ABCA13|154664
63,ABCA17P|650655
64,ABCA1|19
65,ABCA2|20
66,ABCA3|21
67,ABCA4|24
68,ABCA5|23461
69,ABCA6|23460
70,ABCA7|10347
71,ABCA8|10351
72,ABCA9|10350
73,ABCB10|23456
74,ABCB11|8647
75,ABCB1|5243
76,ABCB4|5244
77,ABCB5|340273
78,ABCB6|10058
79,ABCB7|22
80,ABCB8|11194
81,ABCB9|23457
82,ABCC10|89845
83,ABCC11|85320
84,ABCC12|94160
85,ABCC13|150000
86,ABCC1|4363
87,ABCC2|1244
88,ABCC3|8714
89,ABCC4|10257
90,ABCC5|10057
91,ABCC6P1|653190
92,ABCC6P2|730013
93,ABCC6|368
94,ABCC8|6833
95,ABCC9|10060
96,ABCD1|215
97,ABCD2|225
98,ABCD3|5825
99,ABCD4|5826
100,ABCE1|6059
101,ABCF1|23
102,ABCF2|10061
103,ABCF3|55324
104,ABCG1|9619
105,ABCG2|9429
106,ABCG4|64137
107,ABCG5|64240
108,ABCG8|64241
109,ABHD10|55347
110,ABHD11|83451
111,ABHD12B|145447
112,ABHD12|26090
113,ABHD13|84945
114,ABHD14A|25864
115,ABHD14B|84836
116,ABHD15|116236
117,ABHD1|84696
118,ABHD2|11057
119,ABHD3|171586
120,ABHD4|63874
121,ABHD5|51099
122,ABHD6|57406
123,ABHD8|79575
124,ABI1|10006
125,ABI2|10152
126,ABI3BP|25890
127,ABI3|51225
128,ABL1|25
129,ABL2|27
130,ABLIM1|3983
131,ABLIM2|84448
132,ABLIM3|22885
133,ABO|28
134,ABP1|26
135,ABRA|137735
136,ABR|29
137,ABT1|29777
138,ABTB1|80325
139,ABTB2|25841
140,ACAA1|30
141,ACAA2|10449
142,ACACA|31
143,ACACB|32
144,ACAD10|80724
145,ACAD11|84129
146,ACAD8|27034
147,ACAD9|28976
148,ACADL|33
149,ACADM|34
150,ACADSB|36
151,ACADS|35
152,ACADVL|37
153,ACAN|176
154,ACAP1|9744
155,ACAP2|23527
156,ACAP3|116983
157,ACAT1|38
158,ACAT2|39
159,ACBD3|64746
160,ACBD4|79777
161,ACBD5|91452
162,ACBD6|84320
163,ACBD7|414149
164,ACCN1|40
165,ACCN2|41
166,ACCN3|9311
167,ACCN4|55515
168,ACCN5|51802
169,ACCSL|390110
170,ACCS|84680
171,ACD|65057
172,ACE2|59272
173,ACER1|125981
174,ACER2|340485
175,ACER3|55331
176,ACE|1636
177,ACHE|43
178,ACIN1|22985
179,ACLY|47
180,ACMSD|130013
181,ACN9|57001
182,ACO1|48
183,ACO2|50
184,ACOT11|26027
185,ACOT12|134526
186,ACOT13|55856
187,ACOT1|641371
188,ACOT2|10965
189,ACOT4|122970
190,ACOT6|641372
191,ACOT7|11332
192,ACOT8|10005
193,ACOT9|23597
194,ACOX1|51
195,ACOX2|8309
196,ACOX3|8310
197,ACOXL|55289
198,ACP1|52
199,ACP2|53
200,ACP5|54
201,ACP6|51205
202,ACPL2|92370
203,ACPP|55
204,ACPT|93650
205,ACRBP|84519
206,ACRC|93953
207,ACRV1|56
208,ACR|49
209,ACSBG1|23205
210,ACSBG2|81616
211,ACSF2|80221
212,ACSF3|197322
213,ACSL1|2180
214,ACSL3|2181
215,ACSL4|2182
216,ACSL5|51703
217,ACSL6|23305
218,ACSM1|116285
219,ACSM2A|123876
220,ACSM2B|348158
221,ACSM3|6296
222,ACSM4|341392
223,ACSM5|54988
224,ACSS1|84532
225,ACSS2|55902
226,ACSS3|79611
227,ACTA1|58
228,ACTA2|59
229,ACTBL2|345651
230,ACTB|60
231,ACTC1|70
232,ACTG1|71
233,ACTG2|72
234,ACTL6A|86
235,ACTL6B|51412
236,ACTL7A|10881
237,ACTL7B|10880
238,ACTL8|81569
239,ACTL9|284382
240,ACTN1|87
241,ACTN2|88
242,ACTN3|89
243,ACTN4|81
244,ACTR10|55860
245,ACTR1A|10121
246,ACTR1B|10120
247,ACTR2|10097
248,ACTR3B|57180
249,ACTR3C|653857
250,ACTR3|10096
251,ACTR5|79913
252,ACTR6|64431
253,ACTR8|93973
254,ACTRT1|139741
255,ACTRT2|140625
256,ACVR1B|91
257,ACVR1C|130399
258,ACVR1|90
259,ACVR2A|92
260,ACVR2B|93
261,ACVRL1|94
262,ACY1|95
263,ACY3|91703
264,ACYP1|97
265,ACYP2|98
266,ADAD1|132612
267,ADAD2|161931
268,ADAL|161823
269,ADAM10|102
270,ADAM11|4185
271,ADAM12|8038
272,ADAM15|8751
273,ADAM17|6868
274,ADAM18|8749
275,ADAM19|8728
276,ADAM20|8748
277,ADAM21P1|145241
278,ADAM21|8747
279,ADAM22|53616
280,ADAM23|8745
281,ADAM28|10863
282,ADAM29|11086
283,ADAM2|2515
284,ADAM30|11085
285,ADAM32|203102
286,ADAM33|80332
287,ADAM3A|1587
288,ADAM5P|255926
289,ADAM6|8755
290,ADAM7|8756
291,ADAM8|101
292,ADAM9|8754
293,ADAMDEC1|27299
294,ADAMTS10|81794
295,ADAMTS12|81792
296,ADAMTS13|11093
297,ADAMTS14|140766
298,ADAMTS15|170689
299,ADAMTS16|170690
300,ADAMTS17|170691
301,ADAMTS18|170692
302,ADAMTS19|171019
303,ADAMTS1|9510
304,ADAMTS20|80070
305,ADAMTS2|9509
306,ADAMTS3|9508
307,ADAMTS4|9507
308,ADAMTS5|11096
309,ADAMTS6|11174
310,ADAMTS7|11173
311,ADAMTS8|11095
312,ADAMTS9|56999
313,ADAMTSL1|92949
314,ADAMTSL2|9719
315,ADAMTSL3|57188
316,ADAMTSL4|54507
317,ADAMTSL5|339366
318,ADAP1|11033
319,ADAP2|55803
320,ADARB1|104
321,ADARB2|105
322,ADAR|103
323,ADAT1|23536
324,ADAT2|134637
325,ADAT3|113179
326,ADA|100
327,ADCK1|57143
328,ADCK2|90956
329,ADCK4|79934
330,ADCK5|203054
331,ADCY10|55811
332,ADCY1|107
333,ADCY2|108
334,ADCY3|109
335,ADCY4|196883
336,ADCY5|111
337,ADCY6|112
338,ADCY7|113
339,ADCY8|114
340,ADCY9|115
341,ADCYAP1R1|117
342,ADCYAP1|116
343,ADC|113451
344,ADD1|118
345,ADD2|119
346,ADD3|120
347,ADH1A|124
348,ADH1B|125
349,ADH1C|126
350,ADH4|127
351,ADH5|128
352,ADH6|130
353,ADH7|131
354,ADHFE1|137872
355,ADI1|55256
356,ADIG|149685
357,ADIPOQ|9370
358,ADIPOR1|51094
359,ADIPOR2|79602
360,ADK|132
361,ADM2|79924
362,ADM|133
363,ADNP2|22850
364,ADNP|23394
365,ADORA1|134
366,ADORA2A|135
367,ADORA2B|136
368,ADORA3|140
369,ADO|84890
370,ADPGK|83440
371,ADPRHL1|113622
372,ADPRHL2|54936
373,ADPRH|141
374,ADRA1A|148
375,ADRA1B|147
376,ADRA1D|146
377,ADRA2A|150
378,ADRA2B|151
379,ADRA2C|152
380,ADRB1|153
381,ADRB2|154
382,ADRB3|155
383,ADRBK1|156
384,ADRBK2|157
385,ADRM1|11047
386,ADSL|158
387,ADSSL1|122622
388,ADSS|159
389,AEBP1|165
390,AEBP2|121536
391,AEN|64782
392,AES|166
393,AFAP1L1|134265
394,AFAP1L2|84632
395,AFAP1|60312
396,AFARP1|246182
397,AFF1|4299
398,AFF2|2334
399,AFF3|3899
400,AFF4|27125
401,AFG3L1|172
402,AFG3L2|10939
403,AFMID|125061
404,AFM|173
405,AFP|174
406,AFTPH|54812
407,AG2|387763
408,AGAP11|119385
409,AGAP1|116987
410,AGAP2|116986
411,AGAP3|116988
412,AGAP4|119016
413,AGAP5|729092
414,AGAP6|414189
415,AGAP7|653268
416,AGAP8|728404
417,AGA|175
418,AGBL1|123624
419,AGBL2|79841
420,AGBL3|340351
421,AGBL4|84871
422,AGBL5|60509
423,AGER|177
424,AGFG1|3267
425,AGFG2|3268
426,AGGF1|55109
427,AGK|55750
428,AGL|178
429,AGMAT|79814
430,AGPAT1|10554
431,AGPAT2|10555
432,AGPAT3|56894
433,AGPAT4|56895
434,AGPAT5|55326
435,AGPAT6|137964
436,AGPAT9|84803
437,AGPHD1|123688
438,AGPS|8540
439,AGR2|10551
440,AGR3|155465
441,AGRN|375790
442,AGRP|181
443,AGTPBP1|23287
444,AGTR1|185
445,AGTR2|186
446,AGTRAP|57085
447,AGT|183
448,AGXT2L1|64850
449,AGXT2L2|85007
450,AGXT2|64902
451,AGXT|189
452,AHCTF1|25909
453,AHCYL1|10768
454,AHCYL2|23382
455,AHCY|191
456,AHDC1|27245
457,AHI1|54806
458,AHNAK2|113146
459,AHNAK|79026
460,AHRR|57491
461,AHR|196
462,AHSA1|10598
463,AHSA2|130872
464,AHSG|197
465,AHSP|51327
466,AICDA|57379
467,AIDA|64853
468,AIF1L|83543
469,AIF1|199
